Symbol	pathway_name
594	TNFSF14	NF-kappa B signaling pathway
595	TNFSF13B	NF-kappa B signaling pathway
596	DTL	NF-kappa B signaling pathway
597	PRKCQ	NF-kappa B signaling pathway
598	PRKCB	NF-kappa B signaling pathway
599	MAP3K7	NF-kappa B signaling pathway
600	IKBKB	NF-kappa B signaling pathway
601	ZAP70	NF-kappa B signaling pathway
602	SYK	NF-kappa B signaling pathway
603	MAP3K14	NF-kappa B signaling pathway
604	CHUK	NF-kappa B signaling pathway
605	CSNK2A1	NF-kappa B signaling pathway
606	NFKB1	NF-kappa B signaling pathway
607	CD40	NF-kappa B signaling pathway
608	BIRC2	NF-kappa B signaling pathway
609	TRIM25	NF-kappa B signaling pathway
610	EDA	NF-kappa B signaling pathway
611	EDAR	NF-kappa B signaling pathway
612	EDARADD	NF-kappa B signaling pathway
613	CYLD	NF-kappa B signaling pathway
614	PLCG1	NF-kappa B signaling pathway
615	IL1R1	NF-kappa B signaling pathway
616	TNFRSF1A	NF-kappa B signaling pathway
617	TRAF2	NF-kappa B signaling pathway
618	TLR4	NF-kappa B signaling pathway
619	TNFRSF11A	NF-kappa B signaling pathway
620	LTBR	NF-kappa B signaling pathway
621	TNFRSF13C	NF-kappa B signaling pathway
622	CARD10	NF-kappa B signaling pathway
623	NFKBIA	NF-kappa B signaling pathway
624	BTK	NF-kappa B signaling pathway
625	NFKB2	NF-kappa B signaling pathway
626	CFLAR	NF-kappa B signaling pathway
627	TRAF6	NF-kappa B signaling pathway
628	RIPK1	NF-kappa B signaling pathway
629	TRAF3	NF-kappa B signaling pathway
630	CAP1	NF-kappa B signaling pathway
631	EDA2R	NF-kappa B signaling pathway
632	TNF	TNF signaling pathway
633	TNFRSF1A	TNF signaling pathway
634	TRAF2	TNF signaling pathway
635	MAP3K7	TNF signaling pathway
636	MAP2K7	TNF signaling pathway
637	MAPK8	TNF signaling pathway
638	MAP2K3	TNF signaling pathway
639	MAPK14	TNF signaling pathway
640	MAP3K8	TNF signaling pathway
641	MAP2K1	TNF signaling pathway
642	MAPK1	TNF signaling pathway
643	RPS6KA4	TNF signaling pathway
644	MAP3K14	TNF signaling pathway
645	IKBKB	TNF signaling pathway
646	NFKBIA	TNF signaling pathway
647	RIPK1	TNF signaling pathway
648	BIRC2	TNF signaling pathway
649	ITCH	TNF signaling pathway
650	CFLAR	TNF signaling pathway
651	TRADD	TNF signaling pathway
652	FADD	TNF signaling pathway
653	CASP10	TNF signaling pathway
654	CASP8	TNF signaling pathway
655	MAP3K5	TNF signaling pathway
656	RIPK3	TNF signaling pathway
657	MLKL	TNF signaling pathway
658	PGAM5	TNF signaling pathway
659	NFKB1	TNF signaling pathway
660	LTA	TNF signaling pathway
661	TNFRSF1B	TNF signaling pathway
662	PIK3CA	TNF signaling pathway
663	CHUK	TNF signaling pathway
664	DAB2IP	TNF signaling pathway
665	IRF1	TNF signaling pathway
666	FOS	TNF signaling pathway
667	CEBPB	TNF signaling pathway
668	CREB3	TNF signaling pathway
669	IKBKG	TNF signaling pathway
670	CASP7	TNF signaling pathway
671	CASP3	TNF signaling pathway
672	BAG4	TNF signaling pathway
673	DNM1L	TNF signaling pathway
674	AKT3	TNF signaling pathway
675	JUN	TNF signaling pathway
676	IFNB1	TNF signaling pathway
677	IL6	HIF-1 signaling pathway
678	HGF	HIF-1 signaling pathway
679	IFNG	HIF-1 signaling pathway
680	EGF	HIF-1 signaling pathway
681	MAP2K1	HIF-1 signaling pathway
682	MAPK1	HIF-1 signaling pathway
683	PIK3CA	HIF-1 signaling pathway
684	MTOR	HIF-1 signaling pathway
685	RPS6KB1	HIF-1 signaling pathway
686	MKNK2	HIF-1 signaling pathway
687	PRKCA	HIF-1 signaling pathway
688	CAMK2A	HIF-1 signaling pathway
689	EGLN2	HIF-1 signaling pathway
690	IL6R	HIF-1 signaling pathway
691	TLR4	HIF-1 signaling pathway
692	IFNGR1	HIF-1 signaling pathway
693	PDK1	HIF-1 signaling pathway
694	STAT3	HIF-1 signaling pathway
695	NFKB1	HIF-1 signaling pathway
696	EGFR	HIF-1 signaling pathway
697	AKT3	HIF-1 signaling pathway
698	EIF4EBP1	HIF-1 signaling pathway
699	RPS6	HIF-1 signaling pathway
700	EIF4E	HIF-1 signaling pathway
701	CREBBP	HIF-1 signaling pathway
702	HIF1A	HIF-1 signaling pathway
703	PDHA1	HIF-1 signaling pathway
704	TGFBR1	FoxO signaling pathway
705	SMAD4	FoxO signaling pathway
706	STK11	FoxO signaling pathway
707	TGFB1	FoxO signaling pathway
708	IGF1	FoxO signaling pathway
709	INS	FoxO signaling pathway
710	IGF1R	FoxO signaling pathway
711	INSR	FoxO signaling pathway
712	IRS1	FoxO signaling pathway
713	PDPK1	FoxO signaling pathway
714	PDK1	FoxO signaling pathway
715	PDPK2P	FoxO signaling pathway
716	AKT3	FoxO signaling pathway
717	EGF	FoxO signaling pathway
718	EGFR	FoxO signaling pathway
719	GRB2	FoxO signaling pathway
720	SOS1	FoxO signaling pathway
721	HGF	FoxO signaling pathway
